source,target,relationship
CUSTOMER::USER1065,DEVICE::DEV_00022,device
CUSTOMER::USER1065,ADDRESS::ADDR_00022,address
CUSTOMER::USER1065,PAYMENT::PAY_00022,payment
CUSTOMER::USER1065,IP::10.246.105.83,ip
CUSTOMER::USER1891,DEVICE::DEV_00023,device
CUSTOMER::USER1891,ADDRESS::ADDR_00023,address
CUSTOMER::USER1891,PAYMENT::PAY_00023,payment
CUSTOMER::USER1891,IP::10.231.95.20,ip
CUSTOMER::USER1924,DEVICE::DEV_00024,device
CUSTOMER::USER1924,ADDRESS::ADDR_00024,address
CUSTOMER::USER1924,PAYMENT::PAY_00024,payment
CUSTOMER::USER1924,IP::10.120.203.49,ip
CUSTOMER::USER0556,DEVICE::DEV_00025,device
CUSTOMER::USER0556,ADDRESS::ADDR_00025,address
CUSTOMER::USER0556,PAYMENT::PAY_00025,payment
CUSTOMER::USER0556,IP::10.118.34.175,ip
CUSTOMER::USER1072,DEVICE::DEV_00026,device
CUSTOMER::USER1072,ADDRESS::ADDR_00026,address
CUSTOMER::USER1072,PAYMENT::PAY_00026,payment
CUSTOMER::USER1072,IP::10.121.84.58,ip
CUSTOMER::USER0720,DEVICE::DEV_00027,device
CUSTOMER::USER0720,ADDRESS::ADDR_00027,address
CUSTOMER::USER0720,PAYMENT::PAY_00027,payment
CUSTOMER::USER0720,IP::10.144.171.239,ip
CUSTOMER::USER0581,DEVICE::DEV_00028,device
CUSTOMER::USER0581,ADDRESS::ADDR_00028,address
CUSTOMER::USER0581,PAYMENT::PAY_00028,payment
CUSTOMER::USER0581,IP::10.112.41.212,ip
CUSTOMER::USER0081,DEVICE::DEV_00029,device
CUSTOMER::USER0081,ADDRESS::ADDR_00029,address
CUSTOMER::USER0081,PAYMENT::PAY_00029,payment
CUSTOMER::USER0081,IP::10.160.178.25,ip
CUSTOMER::USER1556,DEVICE::DEV_00030,device
CUSTOMER::USER1556,ADDRESS::ADDR_00030,address
CUSTOMER::USER1556,PAYMENT::PAY_00030,payment
CUSTOMER::USER1556,IP::10.80.196.212,ip
CUSTOMER::USER0622,DEVICE::DEV_00031,device
CUSTOMER::USER0622,ADDRESS::ADDR_00031,address
CUSTOMER::USER0622,PAYMENT::PAY_00031,payment
CUSTOMER::USER0622,IP::10.111.205.214,ip
CUSTOMER::USER0715,DEVICE::DEV_00032,device
CUSTOMER::USER0715,ADDRESS::ADDR_00032,address
CUSTOMER::USER0715,PAYMENT::PAY_00032,payment
CUSTOMER::USER0715,IP::10.99.229.74,ip
CUSTOMER::USER0816,DEVICE::DEV_00033,device
CUSTOMER::USER0816,ADDRESS::ADDR_00033,address
CUSTOMER::USER0816,PAYMENT::PAY_00033,payment
CUSTOMER::USER0816,IP::10.61.174.162,ip
CUSTOMER::USER0501,DEVICE::DEV_00034,device
CUSTOMER::USER0501,ADDRESS::ADDR_00034,address
CUSTOMER::USER0501,PAYMENT::PAY_00034,payment
CUSTOMER::USER0501,IP::10.36.212.51,ip
CUSTOMER::USER1455,DEVICE::DEV_00035,device
CUSTOMER::USER1455,ADDRESS::ADDR_00035,address
CUSTOMER::USER1455,PAYMENT::PAY_00035,payment
CUSTOMER::USER1455,IP::10.205.2.203,ip
CUSTOMER::USER1993,DEVICE::DEV_00036,device
CUSTOMER::USER1993,ADDRESS::ADDR_00036,address
CUSTOMER::USER1993,PAYMENT::PAY_00036,payment
CUSTOMER::USER1993,IP::10.200.199.169,ip
CUSTOMER::USER1631,DEVICE::DEV_00037,device
CUSTOMER::USER1631,ADDRESS::ADDR_00037,address
CUSTOMER::USER1631,PAYMENT::PAY_00037,payment
CUSTOMER::USER1631,IP::10.120.180.71,ip
CUSTOMER::USER0604,DEVICE::DEV_00038,device
CUSTOMER::USER0604,ADDRESS::ADDR_00038,address
CUSTOMER::USER0604,PAYMENT::PAY_00038,payment
CUSTOMER::USER0604,IP::10.199.142.117,ip
CUSTOMER::USER1410,DEVICE::DEV_00039,device
CUSTOMER::USER1410,ADDRESS::ADDR_00039,address
CUSTOMER::USER1410,PAYMENT::PAY_00039,payment
CUSTOMER::USER1410,IP::10.129.145.10,ip
CUSTOMER::USER1901,DEVICE::DEV_00040,device
CUSTOMER::USER1901,ADDRESS::ADDR_00040,address
CUSTOMER::USER1901,PAYMENT::PAY_00040,payment
CUSTOMER::USER1901,IP::10.36.63.30,ip
CUSTOMER::USER1050,DEVICE::DEV_00041,device
CUSTOMER::USER1050,ADDRESS::ADDR_00041,address
CUSTOMER::USER1050,PAYMENT::PAY_00041,payment
CUSTOMER::USER1050,IP::10.112.170.167,ip
CUSTOMER::USER0297,DEVICE::DEV_00042,device
CUSTOMER::USER0297,ADDRESS::ADDR_00042,address
CUSTOMER::USER0297,PAYMENT::PAY_00042,payment
CUSTOMER::USER0297,IP::10.120.218.144,ip
CUSTOMER::USER0413,DEVICE::DEV_00043,device
CUSTOMER::USER0413,ADDRESS::ADDR_00043,address
CUSTOMER::USER0413,PAYMENT::PAY_00043,payment
CUSTOMER::USER0413,IP::10.21.195.146,ip
CUSTOMER::USER1690,DEVICE::DEV_00044,device
CUSTOMER::USER1690,ADDRESS::ADDR_00044,address
CUSTOMER::USER1690,PAYMENT::PAY_00044,payment
CUSTOMER::USER1690,IP::10.162.144.141,ip
CUSTOMER::USER1760,DEVICE::DEV_00045,device
CUSTOMER::USER1760,ADDRESS::ADDR_00045,address
CUSTOMER::USER1760,PAYMENT::PAY_00045,payment
CUSTOMER::USER1760,IP::10.24.143.202,ip
CUSTOMER::USER1834,DEVICE::DEV_00046,device
CUSTOMER::USER1834,ADDRESS::ADDR_00046,address
CUSTOMER::USER1834,PAYMENT::PAY_00046,payment
CUSTOMER::USER1834,IP::10.78.154.8,ip
CUSTOMER::USER0750,DEVICE::DEV_00047,device
CUSTOMER::USER0750,ADDRESS::ADDR_00047,address
CUSTOMER::USER0750,PAYMENT::PAY_00047,payment
CUSTOMER::USER0750,IP::10.89.111.250,ip
CUSTOMER::USER1491,DEVICE::DEV_00048,device
CUSTOMER::USER1491,ADDRESS::ADDR_00048,address
CUSTOMER::USER1491,PAYMENT::PAY_00048,payment
CUSTOMER::USER1491,IP::10.55.71.104,ip
CUSTOMER::USER0615,DEVICE::DEV_00049,device
CUSTOMER::USER0615,ADDRESS::ADDR_00049,address
CUSTOMER::USER0615,PAYMENT::PAY_00049,payment
CUSTOMER::USER0615,IP::10.253.217.9,ip
CUSTOMER::USER1920,DEVICE::DEV_00050,device
CUSTOMER::USER1920,ADDRESS::ADDR_00050,address
CUSTOMER::USER1920,PAYMENT::PAY_00050,payment
CUSTOMER::USER1920,IP::10.60.209.15,ip
CUSTOMER::USER0568,DEVICE::DEV_00051,device
CUSTOMER::USER0568,ADDRESS::ADDR_00051,address
CUSTOMER::USER0568,PAYMENT::PAY_00051,payment
CUSTOMER::USER0568,IP::10.218.72.234,ip
CUSTOMER::USER1296,DEVICE::DEV_00052,device
CUSTOMER::USER1296,ADDRESS::ADDR_00052,address
CUSTOMER::USER1296,PAYMENT::PAY_00052,payment
CUSTOMER::USER1296,IP::10.75.111.169,ip
CUSTOMER::USER1140,DEVICE::DEV_00053,device
CUSTOMER::USER1140,ADDRESS::ADDR_00053,address
CUSTOMER::USER1140,PAYMENT::PAY_00053,payment
CUSTOMER::USER1140,IP::10.33.142.129,ip
CUSTOMER::USER0822,DEVICE::DEV_00054,device
CUSTOMER::USER0822,ADDRESS::ADDR_00054,address
CUSTOMER::USER0822,PAYMENT::PAY_00054,payment
CUSTOMER::USER0822,IP::10.200.254.169,ip
CUSTOMER::USER1021,DEVICE::DEV_00055,device
CUSTOMER::USER1021,ADDRESS::ADDR_00055,address
CUSTOMER::USER1021,PAYMENT::PAY_00055,payment
CUSTOMER::USER1021,IP::10.104.104.107,ip
CUSTOMER::USER1394,DEVICE::DEV_00056,device
CUSTOMER::USER1394,ADDRESS::ADDR_00056,address
CUSTOMER::USER1394,PAYMENT::PAY_00056,payment
CUSTOMER::USER1394,IP::10.207.82.43,ip
CUSTOMER::USER1235,DEVICE::DEV_00057,device
CUSTOMER::USER1235,ADDRESS::ADDR_00057,address
CUSTOMER::USER1235,PAYMENT::PAY_00057,payment
CUSTOMER::USER1235,IP::10.85.6.27,ip
CUSTOMER::USER1000,DEVICE::DEV_00058,device
CUSTOMER::USER1000,ADDRESS::ADDR_00058,address
CUSTOMER::USER1000,PAYMENT::PAY_00058,payment
CUSTOMER::USER1000,IP::10.23.196.184,ip
CUSTOMER::USER1053,DEVICE::DEV_00059,device
CUSTOMER::USER1053,ADDRESS::ADDR_00059,address
CUSTOMER::USER1053,PAYMENT::PAY_00059,payment
CUSTOMER::USER1053,IP::10.177.118.183,ip
CUSTOMER::USER0806,DEVICE::DEV_00060,device
CUSTOMER::USER0806,ADDRESS::ADDR_00060,address
CUSTOMER::USER0806,PAYMENT::PAY_00060,payment
CUSTOMER::USER0806,IP::10.41.229.128,ip
CUSTOMER::USER0980,DEVICE::DEV_00061,device
CUSTOMER::USER0980,ADDRESS::ADDR_00061,address
CUSTOMER::USER0980,PAYMENT::PAY_00061,payment
CUSTOMER::USER0980,IP::10.239.39.127,ip
CUSTOMER::USER0345,DEVICE::DEV_00062,device
CUSTOMER::USER0345,ADDRESS::ADDR_00062,address
CUSTOMER::USER0345,PAYMENT::PAY_00062,payment
CUSTOMER::USER0345,IP::10.177.126.114,ip
CUSTOMER::USER0802,DEVICE::DEV_00063,device
CUSTOMER::USER0802,ADDRESS::ADDR_00063,address
CUSTOMER::USER0802,PAYMENT::PAY_00063,payment
CUSTOMER::USER0802,IP::10.43.97.61,ip
CUSTOMER::USER1997,DEVICE::DEV_00064,device
CUSTOMER::USER1997,ADDRESS::ADDR_00064,address
CUSTOMER::USER1997,PAYMENT::PAY_00064,payment
CUSTOMER::USER1997,IP::10.77.174.161,ip
CUSTOMER::USER0542,DEVICE::DEV_00065,device
CUSTOMER::USER0542,ADDRESS::ADDR_00065,address
CUSTOMER::USER0542,PAYMENT::PAY_00065,payment
CUSTOMER::USER0542,IP::10.155.92.244,ip
CUSTOMER::USER0174,DEVICE::DEV_00066,device
CUSTOMER::USER0174,ADDRESS::ADDR_00066,address
CUSTOMER::USER0174,PAYMENT::PAY_00066,payment
CUSTOMER::USER0174,IP::10.23.88.30,ip
CUSTOMER::USER0717,DEVICE::DEV_00067,device
CUSTOMER::USER0717,ADDRESS::ADDR_00067,address
CUSTOMER::USER0717,PAYMENT::PAY_00067,payment
CUSTOMER::USER0717,IP::10.87.245.94,ip
CUSTOMER::USER0554,DEVICE::DEV_00068,device
CUSTOMER::USER0554,ADDRESS::ADDR_00068,address
CUSTOMER::USER0554,PAYMENT::PAY_00068,payment
CUSTOMER::USER0554,IP::10.231.126.178,ip
CUSTOMER::USER1020,DEVICE::DEV_00069,device
CUSTOMER::USER1020,ADDRESS::ADDR_00069,address
CUSTOMER::USER1020,PAYMENT::PAY_00069,payment
CUSTOMER::USER1020,IP::10.117.68.195,ip
CUSTOMER::USER1931,DEVICE::DEV_00070,device
CUSTOMER::USER1931,ADDRESS::ADDR_00070,address
CUSTOMER::USER1931,PAYMENT::PAY_00070,payment
CUSTOMER::USER1931,IP::10.247.67.198,ip
CUSTOMER::USER1429,DEVICE::DEV_00071,device
CUSTOMER::USER1429,ADDRESS::ADDR_00071,address
CUSTOMER::USER1429,PAYMENT::PAY_00071,payment
CUSTOMER::USER1429,IP::10.67.183.201,ip
CUSTOMER::USER0595,DEVICE::DEV_00072,device
CUSTOMER::USER0595,ADDRESS::ADDR_00072,address
CUSTOMER::USER0595,PAYMENT::PAY_00072,payment
CUSTOMER::USER0595,IP::10.115.188.70,ip
CUSTOMER::USER0643,DEVICE::DEV_00073,device
CUSTOMER::USER0643,ADDRESS::ADDR_00073,address
CUSTOMER::USER0643,PAYMENT::PAY_00073,payment
CUSTOMER::USER0643,IP::10.21.25.114,ip
CUSTOMER::USER1369,DEVICE::DEV_00074,device
CUSTOMER::USER1369,ADDRESS::ADDR_00074,address
CUSTOMER::USER1369,PAYMENT::PAY_00074,payment
CUSTOMER::USER1369,IP::10.230.33.116,ip
CUSTOMER::USER0161,DEVICE::DEV_00075,device
CUSTOMER::USER0161,ADDRESS::ADDR_00075,address
CUSTOMER::USER0161,PAYMENT::PAY_00075,payment
CUSTOMER::USER0161,IP::10.179.52.184,ip
CUSTOMER::USER0285,DEVICE::DEV_00076,device
CUSTOMER::USER0285,ADDRESS::ADDR_00076,address
CUSTOMER::USER0285,PAYMENT::PAY_00076,payment
CUSTOMER::USER0285,IP::10.78.206.148,ip
CUSTOMER::USER1541,DEVICE::DEV_00077,device
CUSTOMER::USER1541,ADDRESS::ADDR_00077,address
CUSTOMER::USER1541,PAYMENT::PAY_00077,payment
CUSTOMER::USER1541,IP::10.139.45.118,ip
CUSTOMER::USER0117,DEVICE::DEV_00078,device
CUSTOMER::USER0117,ADDRESS::ADDR_00078,address
CUSTOMER::USER0117,PAYMENT::PAY_00078,payment
CUSTOMER::USER0117,IP::10.218.5.193,ip
CUSTOMER::USER0144,DEVICE::DEV_00079,device
CUSTOMER::USER0144,ADDRESS::ADDR_00079,address
CUSTOMER::USER0144,PAYMENT::PAY_00079,payment
CUSTOMER::USER0144,IP::10.126.183.169,ip
CUSTOMER::USER0274,DEVICE::DEV_00080,device
CUSTOMER::USER0274,ADDRESS::ADDR_00080,address
CUSTOMER::USER0274,PAYMENT::PAY_00080,payment
CUSTOMER::USER0274,IP::10.110.79.160,ip
CUSTOMER::USER1757,DEVICE::DEV_00081,device
CUSTOMER::USER1757,ADDRESS::ADDR_00081,address
CUSTOMER::USER1757,PAYMENT::PAY_00081,payment
CUSTOMER::USER1757,IP::10.36.149.25,ip
CUSTOMER::USER1534,DEVICE::DEV_00082,device
CUSTOMER::USER1534,ADDRESS::ADDR_00082,address
CUSTOMER::USER1534,PAYMENT::PAY_00082,payment
CUSTOMER::USER1534,IP::10.166.160.22,ip
CUSTOMER::USER0946,DEVICE::DEV_00083,device
CUSTOMER::USER0946,ADDRESS::ADDR_00083,address
CUSTOMER::USER0946,PAYMENT::PAY_00083,payment
CUSTOMER::USER0946,IP::10.193.106.200,ip
CUSTOMER::USER1363,DEVICE::DEV_00084,device
CUSTOMER::USER1363,ADDRESS::ADDR_00084,address
CUSTOMER::USER1363,PAYMENT::PAY_00084,payment
CUSTOMER::USER1363,IP::10.11.46.126,ip
CUSTOMER::USER0849,DEVICE::DEV_00085,device
CUSTOMER::USER0849,ADDRESS::ADDR_00085,address
CUSTOMER::USER0849,PAYMENT::PAY_00085,payment
CUSTOMER::USER0849,IP::10.48.84.168,ip
CUSTOMER::USER0452,DEVICE::DEV_00086,device
CUSTOMER::USER0452,ADDRESS::ADDR_00086,address
CUSTOMER::USER0452,PAYMENT::PAY_00086,payment
CUSTOMER::USER0452,IP::10.37.173.27,ip
CUSTOMER::USER0245,DEVICE::DEV_00087,device
CUSTOMER::USER0245,ADDRESS::ADDR_00087,address
CUSTOMER::USER0245,PAYMENT::PAY_00087,payment
CUSTOMER::USER0245,IP::10.45.150.202,ip
CUSTOMER::USER1957,DEVICE::DEV_00088,device
CUSTOMER::USER1957,ADDRESS::ADDR_00088,address
CUSTOMER::USER1957,PAYMENT::PAY_00088,payment
CUSTOMER::USER1957,IP::10.44.77.235,ip
CUSTOMER::USER1852,DEVICE::DEV_00089,device
CUSTOMER::USER1852,ADDRESS::ADDR_00089,address
CUSTOMER::USER1852,PAYMENT::PAY_00089,payment
CUSTOMER::USER1852,IP::10.252.148.114,ip
CUSTOMER::USER1125,DEVICE::DEV_00090,device
CUSTOMER::USER1125,ADDRESS::ADDR_00090,address
CUSTOMER::USER1125,PAYMENT::PAY_00090,payment
CUSTOMER::USER1125,IP::10.89.156.151,ip
CUSTOMER::USER1865,DEVICE::DEV_00091,device
CUSTOMER::USER1865,ADDRESS::ADDR_00091,address
CUSTOMER::USER1865,PAYMENT::PAY_00091,payment
CUSTOMER::USER1865,IP::10.75.6.39,ip
CUSTOMER::USER0921,DEVICE::DEV_00092,device
CUSTOMER::USER0921,ADDRESS::ADDR_00092,address
CUSTOMER::USER0921,PAYMENT::PAY_00092,payment
CUSTOMER::USER0921,IP::10.244.107.123,ip
CUSTOMER::USER0259,DEVICE::DEV_00093,device
CUSTOMER::USER0259,ADDRESS::ADDR_00093,address
CUSTOMER::USER0259,PAYMENT::PAY_00093,payment
CUSTOMER::USER0259,IP::10.119.199.17,ip
CUSTOMER::USER1609,DEVICE::DEV_00094,device
CUSTOMER::USER1609,ADDRESS::ADDR_00094,address
CUSTOMER::USER1609,PAYMENT::PAY_00094,payment
CUSTOMER::USER1609,IP::10.22.71.124,ip
CUSTOMER::USER1546,DEVICE::DEV_00095,device
CUSTOMER::USER1546,ADDRESS::ADDR_00095,address
CUSTOMER::USER1546,PAYMENT::PAY_00095,payment
CUSTOMER::USER1546,IP::10.171.125.113,ip
CUSTOMER::USER1184,DEVICE::DEV_00096,device
CUSTOMER::USER1184,ADDRESS::ADDR_00096,address
CUSTOMER::USER1184,PAYMENT::PAY_00096,payment
CUSTOMER::USER1184,IP::10.239.41.146,ip
CUSTOMER::USER1150,DEVICE::DEV_00097,device
CUSTOMER::USER1150,ADDRESS::ADDR_00097,address
CUSTOMER::USER1150,PAYMENT::PAY_00097,payment
CUSTOMER::USER1150,IP::10.138.121.206,ip
CUSTOMER::USER1026,DEVICE::DEV_00098,device
CUSTOMER::USER1026,ADDRESS::ADDR_00098,address
CUSTOMER::USER1026,PAYMENT::PAY_00098,payment
CUSTOMER::USER1026,IP::10.68.243.85,ip
CUSTOMER::USER0524,DEVICE::ABUSE_DEV_008,device
CUSTOMER::USER0524,ADDRESS::ABUSE_ADDR_008,address
CUSTOMER::USER0524,PAYMENT::ABUSE_PAY_008,payment
CUSTOMER::USER0524,IP::10.139.133.216,ip
DEVICE::ABUSE_DEV_008,CUSTOMER::USER0230,device
DEVICE::ABUSE_DEV_008,CUSTOMER::USER1507,device
DEVICE::ABUSE_DEV_008,CUSTOMER::USER1899,device
DEVICE::ABUSE_DEV_008,CUSTOMER::USER0845,device
ADDRESS::ABUSE_ADDR_008,CUSTOMER::USER0230,address
ADDRESS::ABUSE_ADDR_008,CUSTOMER::USER1507,address
ADDRESS::ABUSE_ADDR_008,CUSTOMER::USER1899,address
ADDRESS::ABUSE_ADDR_008,CUSTOMER::USER0845,address
PAYMENT::ABUSE_PAY_008,CUSTOMER::USER1899,payment
CUSTOMER::USER1725,DEVICE::DEV_00100,device
CUSTOMER::USER1725,ADDRESS::ADDR_00100,address
CUSTOMER::USER1725,PAYMENT::PAY_00100,payment
CUSTOMER::USER1725,IP::10.112.73.6,ip
CUSTOMER::USER0881,DEVICE::DEV_00101,device
CUSTOMER::USER0881,ADDRESS::ADDR_00101,address
CUSTOMER::USER0881,PAYMENT::PAY_00101,payment
CUSTOMER::USER0881,IP::10.93.210.3,ip
CUSTOMER::USER1926,DEVICE::ABUSE_DEV_011,device
CUSTOMER::USER1926,ADDRESS::ADDR_00102,address
CUSTOMER::USER1926,PAYMENT::ABUSE_PAY_011,payment
CUSTOMER::USER1926,IP::10.228.138.36,ip
DEVICE::ABUSE_DEV_011,CUSTOMER::USER0841,device
DEVICE::ABUSE_DEV_011,CUSTOMER::USER1537,device
DEVICE::ABUSE_DEV_011,CUSTOMER::USER0635,device
DEVICE::ABUSE_DEV_011,CUSTOMER::USER0254,device
PAYMENT::ABUSE_PAY_011,CUSTOMER::USER1537,payment
PAYMENT::ABUSE_PAY_011,CUSTOMER::USER0635,payment
PAYMENT::ABUSE_PAY_011,CUSTOMER::USER0254,payment
CUSTOMER::USER1580,DEVICE::DEV_00103,device
CUSTOMER::USER1580,ADDRESS::ADDR_00103,address
CUSTOMER::USER1580,PAYMENT::PAY_00103,payment
CUSTOMER::USER1580,IP::10.77.141.81,ip
CUSTOMER::USER0224,DEVICE::DEV_00104,device
CUSTOMER::USER0224,ADDRESS::ADDR_00104,address
CUSTOMER::USER0224,PAYMENT::PAY_00104,payment
CUSTOMER::USER0224,IP::10.28.170.171,ip
CUSTOMER::USER1025,DEVICE::DEV_00105,device
CUSTOMER::USER1025,ADDRESS::ADDR_00105,address
CUSTOMER::USER1025,PAYMENT::PAY_00105,payment
CUSTOMER::USER1025,IP::10.31.72.62,ip
CUSTOMER::USER1311,DEVICE::DEV_00106,device
CUSTOMER::USER1311,ADDRESS::ADDR_00106,address
CUSTOMER::USER1311,PAYMENT::PAY_00106,payment
CUSTOMER::USER1311,IP::10.168.186.185,ip
CUSTOMER::USER1588,DEVICE::DEV_00107,device
CUSTOMER::USER1588,ADDRESS::ADDR_00107,address
CUSTOMER::USER1588,PAYMENT::PAY_00107,payment
CUSTOMER::USER1588,IP::10.239.196.82,ip
CUSTOMER::USER0594,DEVICE::DEV_00108,device
CUSTOMER::USER0594,ADDRESS::ADDR_00108,address
CUSTOMER::USER0594,PAYMENT::PAY_00108,payment
CUSTOMER::USER0594,IP::10.28.157.233,ip
CUSTOMER::USER0085,DEVICE::DEV_00109,device
CUSTOMER::USER0085,ADDRESS::ADDR_00109,address
CUSTOMER::USER0085,PAYMENT::PAY_00109,payment
CUSTOMER::USER0085,IP::10.248.59.61,ip
CUSTOMER::USER1545,DEVICE::DEV_00110,device
CUSTOMER::USER1545,ADDRESS::ADDR_00110,address
CUSTOMER::USER1545,PAYMENT::PAY_00110,payment
CUSTOMER::USER1545,IP::10.10.36.141,ip
CUSTOMER::USER1768,DEVICE::DEV_00111,device
CUSTOMER::USER1768,ADDRESS::ADDR_00111,address
CUSTOMER::USER1768,PAYMENT::PAY_00111,payment
CUSTOMER::USER1768,IP::10.139.95.79,ip
CUSTOMER::USER0047,DEVICE::ABUSE_DEV_012,device
CUSTOMER::USER0047,ADDRESS::ABUSE_ADDR_012,address
CUSTOMER::USER0047,PAYMENT::ABUSE_PAY_012,payment
CUSTOMER::USER0047,IP::10.211.117.206,ip
DEVICE::ABUSE_DEV_012,CUSTOMER::USER1999,device
DEVICE::ABUSE_DEV_012,CUSTOMER::USER0236,device
DEVICE::ABUSE_DEV_012,CUSTOMER::USER1044,device
DEVICE::ABUSE_DEV_012,CUSTOMER::USER1041,device
ADDRESS::ABUSE_ADDR_012,CUSTOMER::USER1999,address
ADDRESS::ABUSE_ADDR_012,CUSTOMER::USER0236,address
ADDRESS::ABUSE_ADDR_012,CUSTOMER::USER1044,address
ADDRESS::ABUSE_ADDR_012,CUSTOMER::USER1041,address
PAYMENT::ABUSE_PAY_012,CUSTOMER::USER0236,payment
PAYMENT::ABUSE_PAY_012,CUSTOMER::USER1041,payment
CUSTOMER::USER0795,DEVICE::DEV_00113,device
CUSTOMER::USER0795,ADDRESS::ADDR_00113,address
CUSTOMER::USER0795,PAYMENT::PAY_00113,payment
CUSTOMER::USER0795,IP::10.245.81.52,ip
CUSTOMER::USER0521,DEVICE::DEV_00114,device
CUSTOMER::USER0521,ADDRESS::ADDR_00114,address
